"Transaction Type","Date","Amount Debited","Debit Currency","Amount Credited","Credit Currency","Buy / Sell Rate","Direction","Spot Rate","Source / Destination","Blockchain Transaction ID"
"fiat funding","2021-05-07T15:07:40+00",,,250,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-05-07T15:08:24+00",250,"CAD",0.00355033,"BTC","70415.7981","purchase",,,
"crypto cashout","2021-05-08T15:56:37+00",0.00355033,"BTC",,,,"debit","70352.0900","1MNgqcd36RuFKiTMsC7LHkZBwZaCxCGcos","a7d1fc0fe511801b792bf2a2d7251a0e0c63b02c222fdc073149abbfb53d1c6f"
"fiat funding","2021-05-19T14:59:48+00",,,2500,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-05-19T15:01:13+00",1250,"CAD",0.02712194,"BTC","46088.1479","purchase",,,
"purchase/sale","2021-05-19T15:01:25+00",1250,"CAD",0.3860544803620261,"ETH","3237.8850","purchase",,,
"fiat funding","2021-05-19T16:41:03+00",,,500,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-05-19T18:41:07+00",500,"CAD",0.1545572358158437,"ETH","3235.0475","purchase",,,
"crypto cashout","2021-05-21T04:49:37+00",0.5406117161778698,"ETH",,,,"debit","3375.4678","0x1715feca1985fe3c24c1b7e7cb17a2969b82c236","0x66cccf108495eccf132ea56859b266cce99a5d927aca00ebcb1093a462506d80"
"crypto cashout","2021-05-21T04:50:21+00",0.02712194,"BTC",,,,"debit","48394.3320","1MNgqcd36RuFKiTMsC7LHkZBwZaCxCGcos","68fe5521ef54acc7848aa65f28947bf2d4ed2630dc45b9267e7df08b82099be7"
"fiat funding","2021-05-21T05:13:27+00",,,2000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-05-21T05:16:02+00",1250,"CAD",0.02576519,"BTC","48515.0530","purchase",,,
"purchase/sale","2021-05-21T05:16:14+00",750,"CAD",0.2233242490613422,"ETH","3358.3456","purchase",,,
"crypto cashout","2021-05-25T15:55:11+00",0.2233242490613422,"ETH",,,,"debit","3141.6741","0xeB60b73965940e0d8c54097Ac62c06d4e96B9FE3","0xae7eeb6100aeb9a762097a9b47667c10f19b600c11e0db1bbdcaafcebbb26c6b"
"crypto cashout","2021-05-25T15:57:34+00",0.02576519,"BTC",,,,"debit","46034.7860","3J1ZywQ9FhrZvEJJGtg3WGa7RBygF87yVR","84cffcf86de4765ef714219774e30fe73bda2dd131cc57825a72f788a2f99830"
"fiat funding","2021-05-25T18:57:23+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-05-25T19:09:41+00",500,"CAD",0.01084222,"BTC","46115.9859","purchase",,,
"purchase/sale","2021-05-28T18:24:42+00",500,"CAD",0.01142549,"BTC","43761.7988","purchase",,,
"purchase/sale","2021-05-29T14:26:59+00",500,"CAD",0.17114667345413068,"ETH","2921.4707","purchase",,,
"purchase/sale","2021-06-04T22:12:25+00",300,"CAD",0.00660923,"BTC","45391.0379","purchase",,,
"purchase/sale","2021-06-04T22:12:51+00",300,"CAD",0.09005957985579725,"ETH","3331.1281","purchase",,,
"crypto cashout","2021-06-05T19:40:53+00",0.02887694,"BTC",,,,"debit","43597.3561","391rZooS3cJJpek65Xg9sgq4QcDG7KDeYL","54d5742ec1cebfb3e66f943a78d220a427a1f838f43757b823a6bddb8f5a02fd"
"crypto cashout","2021-06-05T19:43:07+00",0.2612062533099279,"ETH",,,,"debit","3172.4233","0xeB60b73965940e0d8c54097Ac62c06d4e96B9FE3","0x5584d97e32e609cd35a623be380cc96e0379ab85601bcd1a7362ea1cf5e497f1"
"purchase/sale","2021-06-08T02:53:31+00",600,"CAD",0.01503699,"BTC","39901.5865","purchase",,,
"purchase/sale","2021-06-08T02:55:17+00",300,"CAD",0.09852720403285248,"ETH","3044.8443","purchase",,,
"fiat funding","2021-06-08T06:46:16+00",,,2000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-06-08T14:40:55+00",500,"CAD",0.01280519,"BTC","39046.6666","purchase",,,
"purchase/sale","2021-06-12T05:06:21+00",500,"CAD",0.17770460878275804,"ETH","2813.6580","purchase",,,
"purchase/sale","2021-06-19T19:19:26+00",500,"CAD",0.17913867722331922,"ETH","2791.1337","purchase",,,
"purchase/sale","2021-06-21T12:43:42+00",500,"CAD",0.2012160028439044,"ETH","2484.8918","purchase",,,
"fiat funding","2021-06-22T02:31:56+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-06-22T12:29:23+00",500,"CAD",0.01331671,"BTC","37546.8003","purchase",,,
"purchase/sale","2021-06-25T19:57:20+00",1000,"CAD",0.02492245,"BTC","40124.4629","purchase",,,
"purchase/sale","2021-06-25T19:57:38+00",500,"CAD",0.21601045024085597,"ETH","2314.7028","purchase",,,
"purchase/sale","2021-07-19T17:02:35+00",700,"CAD",0.01766161,"BTC","39633.9768","purchase",,,
"purchase/sale","2021-07-19T17:03:02+00",300,"CAD",0.12747075834064805,"ETH","2353.4809","purchase",,,
"fiat funding","2021-08-06T04:19:30+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-08-23T03:24:40+00",1500,"CAD",0.02320792,"BTC","64633.0845","purchase",,,
"purchase/sale","2021-08-23T03:24:59+00",1500,"CAD",0.34722905736898163,"ETH","4319.9150","purchase",,,
"fiat funding","2021-08-31T18:02:47+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-08-31T18:09:53+00",3000,"CAD",0.04983217,"BTC","60202.0672","purchase",,,
"crypto cashout","2021-08-31T18:17:19+00",0.055,"BTC",,,,"debit","59357.1627","1MNgqcd36RuFKiTMsC7LHkZBwZaCxCGcos","6a6fc722944d68cf26300f0c295188b895b4a2ac7361030e3b5fdf8d76d7dc9c"
"fiat funding","2021-09-07T00:52:36+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-09-07T04:38:51+00",3000,"CAD",0.04499567,"BTC","66673.0760","purchase",,,
"crypto cashout","2021-09-07T04:45:17+00",0.042,"BTC",,,,"debit","65990.6087","1MNgqcd36RuFKiTMsC7LHkZBwZaCxCGcos","8686437b00521baa58b6b7660073a7548231fca1e6df86e74780f87c3dbe67da"
"fiat funding","2021-09-16T16:20:58+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-09-20T15:51:56+00",500,"CAD",0.00880864,"BTC","56762.4104","purchase",,,
"purchase/sale","2021-09-20T15:52:15+00",500,"CAD",0.12535587079788657,"ETH","3988.6445","purchase",,,
"purchase/sale","2021-09-28T16:13:08+00",250,"CAD",0.00468931,"BTC","53312.6590","purchase",,,
"purchase/sale","2021-10-15T21:02:14+00",1750,"CAD",0.02244171,"BTC","77979.7769","purchase",,,
"crypto cashout","2021-10-16T00:31:19+00",0.0224,"BTC",,,,"debit","76185.0107","1MNgqcd36RuFKiTMsC7LHkZBwZaCxCGcos","fba5830ff0911c25cfb81a87aee79b695fe7ca3afeaf3107856ece3676f9dbbd"
"crypto cashout","2021-10-20T16:18:29+00",0.05,"BTC",,,,"debit","82188.2376","1MNgqcd36RuFKiTMsC7LHkZBwZaCxCGcos","de50209953173651922ce25cc7b541056478492cf7cf27ec49f7309dc35e06a0"
"fiat funding","2021-11-07T03:24:22+00",,,2000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-11-07T03:31:26+00",300,"CAD",0.00384225,"BTC","78079.1004","purchase",,,
"crypto cashout","2021-11-07T03:46:54+00",0.005,"BTC",,,,"debit","77434.1977","1PzkKRbShMzZJgbZp2GtgDcfMNSwmQrLKZ","468b8469d8f3520a1900bc2ba782ea7d26e2289bb511805c72f2877d8e637e2b"
"crypto cashout","2021-11-07T04:09:49+00",0.005,"BTC",,,,"debit","77639.9289","3NUavNZTJxqEsmNKoFgDyzE5WNz8E5t3te","1f717cc84d183dec3d9d00481ceefb11e3267c2d13c98cfa97e66b32546b9f01"
"purchase/sale","2021-11-07T04:10:27+00",300,"CAD",0.00382072,"BTC","78519.1952","purchase",,,
"purchase/sale","2021-11-11T01:46:26+00",400,"CAD",0.00490254,"BTC","81590.2549","purchase",,,
"purchase/sale","2021-11-12T19:00:52+00",250,"CAD",0.00308357,"BTC","81074.6528","purchase",,,
"purchase/sale","2021-11-16T13:57:27+00",400,"CAD",0.00521007,"BTC","76774.3464","purchase",,,
"purchase/sale","2021-11-16T13:57:44+00",350,"CAD",0.06431002480582888,"ETH","5442.3863","purchase",,,
"fiat funding","2021-11-27T06:55:39+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-11-27T17:02:23+00",300,"CAD",0.00421294,"BTC","71209.0565","purchase",,,
"purchase/sale","2021-12-04T13:39:02+00",500,"CAD",0.00813697,"BTC","61447.9240","purchase",,,
"purchase/sale","2021-12-04T13:39:20+00",500,"CAD",0.09728807589823707,"ETH","5139.3760","purchase",,,
"purchase/sale","2021-12-06T16:01:03+00",500,"CAD",0.00790013,"BTC","63290.0657","purchase",,,
"crypto cashout","2021-12-06T16:22:10+00",0.008,"BTC",,,,"debit","62390.4259","1MNgqcd36RuFKiTMsC7LHkZBwZaCxCGcos","81a71a616cc2cdefb31490764b78daad45730762355687ce919f9aa1d7f32fa2"
"card transactions","2021-12-09T00:34:07+00",58.88,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card transactions","2021-12-09T20:06:44+00",4.4,"CAD",,,,"debit",,"BEAMERS COFFEE BAR LT",
"card cashbacks","2021-12-10T15:21:50+00",,,0.00001893,"BTC",,"credit","61489.1547","@cashbacks",
"card cashbacks","2021-12-10T15:22:03+00",,,0.00000141,"BTC",,"credit","61417.9631","@cashbacks",
"card transactions","2021-12-11T19:33:36+00",23.1,"CAD",,,,"debit",,"MONTROSE PET CLINIC",
"card transactions","2021-12-11T19:38:14+00",195.82,"CAD",,,,"debit",,"MONTROSE PET CLINIC",
"card cashbacks","2021-12-12T14:41:27+00",,,0.0000613,"BTC",,"credit","63179.4118","@cashbacks",
"card cashbacks","2021-12-12T14:50:30+00",,,0.00000719,"BTC",,"credit","63464.0114","@cashbacks",
"purchase/sale","2021-12-13T19:09:05+00",500,"CAD",0.101388845365827,"ETH","4931.5090","purchase",,,
"card transactions","2021-12-13T23:44:17+00",9.52,"CAD",,,,"debit",,"SOBEYS BEAUMONT 5076",
"card cashbacks","2021-12-16T14:41:27+00",,,0.00000302,"BTC",,"credit","62258.1988","@cashbacks",
"card transactions","2021-12-16T16:13:18+00",27.28,"CAD",,,,"debit",,"CDN TIRE STORE 00329",
"card transactions","2021-12-16T21:43:45+00",5.78,"CAD",,,,"debit",,"SAFEWAY 8912",
